画像,カード名,カードタイプ,マナコスト,カードテキスト,パワー,タフネス,レアリティ
Get Lost,Instant,{1}{W},"Destroy target creature, enchantment, or planeswalker. Its controller creates two Map tokens. (They’re artifacts with “{1}, {T}, Sacrifice this artifact: Target creature you control explores. Activate only as a sorcery.”)",,,Rare,https://cards.scryfall.io/large/front/5/2/522aa72b-2b8c-484c-872b-f082101cee35.jpg?1699043186
Glorifier of Suffering,Creature — Vampire Soldier,{2}{W},"When Glorifier of Suffering enters the battlefield, you may sacrifice another creature or artifact. When you do, put a +1/+1 counter on each of up to two target creatures.",3,2,Common,https://cards.scryfall.io/large/front/7/5/7580ad36-7362-4dee-9511-d119173b70e8.jpg?1699043195
Guardian of the Great Door,Creature — Angel,{W}{W},"As an additional cost to cast this spell, tap four untapped artifacts, creatures, and/or lands you control.

Flying",4,4,Uncommon,https://cards.scryfall.io/large/front/a/8/a86f3cb2-7822-4c19-bd84-cea177e5b6e9.jpg?1699043203
Helping Hand,Sorcery,{W},Return target creature card with mana value 3 or less from your graveyard to the battlefield tapped.,,,Uncommon,https://cards.scryfall.io/large/front/b/8/b8aa7126-5df3-42dd-b4a3-0d0ea59eeebd.jpg?1699043212
Ironpaw Aspirant,Creature — Cat Warrior,{1}{W},"When Ironpaw Aspirant enters the battlefield, put a +1/+1 counter on target creature.",1,2,Common,https://cards.scryfall.io/large/front/f/7/f70689a0-ac69-4052-84fc-9055e9e1c54b.jpg?1699043222
Kinjalli's Dawnrunner,Creature — Human Scout,{2}{W},"Double strike

When Kinjalli’s Dawnrunner enters the battlefield, it explores. (Reveal the top card of your library. Put that card into your hand if it’s a land. Otherwise, put a +1/+1 counter on this creature, then put the card back or put it into your graveyard.)",1,1,Uncommon,https://cards.scryfall.io/large/front/f/c/fc4c527c-6963-47f4-bcad-841d06bb2211.jpg?1699043231
Kutzil's Flanker,Creature — Cat Warrior,{2}{W},"Flash

When Kutzil’s Flanker enters the battlefield, choose one —

• Put a +1/+1 counter on Kutzil’s Flanker for each creature that left the battlefield under your control this turn.

• You gain 2 life and scry 2.

• Exile target player’s graveyard.",3,1,Rare,https://cards.scryfall.io/large/front/d/1/d1201811-54ab-4c4e-b6e1-19b0d07e5ede.jpg?1699043239
Malamet War Scribe,Creature — Cat Warrior,{3}{W}{W},"When Malamet War Scribe enters the battlefield, creatures you control get +2/+1 until end of turn.",4,3,Uncommon,https://cards.scryfall.io/large/front/b/9/b92a6ba0-cea0-4084-92f1-2bd60ea25fb0.jpg?1699043248
Market Gnome,Artifact Creature — Gnome,{W},"When Market Gnome dies, you gain 1 life and draw a card.

When Market Gnome is exiled from the battlefield while you’re activating a craft ability, you gain 1 life and draw a card.",0,3,Uncommon,https://cards.scryfall.io/large/front/3/6/36dafcd6-ce4e-4a27-bd8c-fa1a3bffc99e.jpg?1699043256
Might of the Ancestors,Enchantment,{2}{W},"At the beginning of combat on your turn, target creature you control gets +2/+0 and gains vigilance until end of turn.",,,Uncommon,https://cards.scryfall.io/large/front/5/4/54f82c95-8bc1-4df9-9120-86ffc059c7dd.jpg?1699043265
Miner's Guidewing,Creature — Bird,{W},"Flying, vigilance

When Miner’s Guidewing dies, target creature you control explores. (Reveal the top card of your library. Put that card into your hand if it’s a land. Otherwise, put a +1/+1 counter on that creature, then put the card back or put it into your graveyard.)",1,1,Common,https://cards.scryfall.io/large/front/9/0/9048cd9d-df3f-4705-a5f4-e5b09760c631.jpg?1699043273
Mischievous Pup,Creature — Dog,{2}{W},"Flash

When Mischievous Pup enters the battlefield, return up to one other target permanent you control to its owner’s hand.",3,1,Uncommon,https://cards.scryfall.io/large/front/7/c/7c219861-f808-456f-b551-37512764062d.jpg?1699043282
"Ojer Taq, Deepest Foundation",Legendary Creature — God,{4}{W}{W},"Vigilance

If one or more creature tokens would be created under your control, three times that many of those tokens are created instead.

When Ojer Taq dies, return it to the battlefield tapped and transformed under its owner’s control.",6,6,Mythic Rare,https://cards.scryfall.io/large/front/1/c/1ca79dd4-67fc-496c-96fc-489b039c4932.jpg?1699043299
Temple of Civilization,Land,,"(Transforms from Ojer Taq, Deepest Foundation.)

{T}: Add {W}.

{2}{W}, {T}: Transform Temple of Civilization. Activate only if you attacked with three or more creatures this turn and only as a sorcery.",6,6,Mythic Rare,https://cards.scryfall.io/large/back/1/c/1ca79dd4-67fc-496c-96fc-489b039c4932.jpg?1699043299
Oltec Archaeologists,Creature — Human Artificer Scout,{4}{W},"When Oltec Archaeologists enters the battlefield, choose one —

• Return target artifact card from your graveyard to your hand.

• Scry 3. (Look at the top three cards of your library, then put any number of them on the bottom and the rest on top in any order.)",4,4,Common,https://cards.scryfall.io/large/front/5/7/57c21561-2213-4524-89a6-30a305843e5a.jpg?1699043308
Oltec Cloud Guard,Creature — Human Soldier,{3}{W},"Flying

When Oltec Cloud Guard enters the battlefield, create a 1/1 colorless Gnome artifact creature token.",3,2,Common,https://cards.scryfall.io/large/front/0/2/02d68a38-2e0b-401b-b67d-a55e2af5b18d.jpg?1699043317
Oteclan Landmark,Artifact,{W},"When Oteclan Landmark enters the battlefield, scry 2.

Craft with artifact {2}{W} ({2}{W}, Exile this artifact, Exile another artifact you control or an artifact card from your graveyard: Return this card transformed under its owner’s control. Craft only as a sorcery.)",1,4,Common,https://cards.scryfall.io/large/front/0/9/099a1d1c-72ba-468e-9385-8f93e1fce001.jpg?1699049968
Oteclan Levitator,"Color Indicator: White
          Artifact Creature — Golem",,"Flying

Whenever Oteclan Levitator attacks, target attacking creature without flying gains flying until end of turn.",1,4,Common,https://cards.scryfall.io/large/back/0/9/099a1d1c-72ba-468e-9385-8f93e1fce001.jpg?1699049968
Petrify,Enchantment — Aura,{1}{W},"Enchant artifact or creature

Enchanted permanent can’t attack or block, and its activated abilities can’t be activated.",,,Common,https://cards.scryfall.io/large/front/b/b/bbc5f28f-6361-455f-ac82-260a70e59316.jpg?1699043345
Quicksand Whirlpool,Instant,{5}{W},"This spell costs {3} less to cast if it targets a tapped creature.

Exile target creature.",,,Common,https://cards.scryfall.io/large/front/a/7/a74ddccb-ebbd-4fad-a9b6-6b9e9bafae31.jpg?1699043354
Resplendent Angel,Creature — Angel,{1}{W}{W},"Flying

At the beginning of each end step, if you gained 5 or more life this turn, create a 4/4 white Angel creature token with flying and vigilance.

{3}{W}{W}{W}: Until end of turn, Resplendent Angel gets +2/+2 and gains lifelink.",3,3,Mythic Rare,https://cards.scryfall.io/large/front/5/9/59adbd35-9959-4a0f-babf-46ea3c15f018.jpg?1699043363
Ruin-Lurker Bat,Creature — Bat,{W},"Flying, lifelink

At the beginning of your end step, if you descended this turn, scry 1. (You descended if a permanent card was put into your graveyard from anywhere.)",1,1,Uncommon,https://cards.scryfall.io/large/front/d/6/d6bedf13-c2bc-4e5d-aba3-3c0d5495a9bb.jpg?1699043372
Sanguine Evangelist,Creature — Vampire Cleric,{2}{W},"Battle cry (Whenever this creature attacks, each other attacking creature gets +1/+0 until end of turn.)

When Sanguine Evangelist enters the battlefield or dies, create a 1/1 black Bat creature token with flying.",2,1,Rare,https://cards.scryfall.io/large/front/2/6/269ddd84-fdc4-4c94-b183-32ecec56967c.jpg?1699043382
Soaring Sandwing,Creature — Dinosaur,{4}{W}{W},"Flying

When Soaring Sandwing enters the battlefield, you gain 3 life.

Plainscycling {2} ({2}, Discard this card: Search your library for a Plains card, reveal it, put it into your hand, then shuffle.)",3,5,Common,https://cards.scryfall.io/large/front/e/7/e7833724-aec6-41a4-a7ea-2aa722467732.jpg?1699043391
Spring-Loaded Sawblades,Artifact,{1}{W},"Flash

When Spring-Loaded Sawblades enters the battlefield, it deals 5 damage to target tapped creature an opponent controls.

Craft with artifact {3}{W} ({3}{W}, Exile this artifact, Exile another artifact you control or an artifact card from your graveyard: Return this card transformed under its owner’s control. Craft only as a sorcery.)",5,5,Uncommon,https://cards.scryfall.io/large/front/2/4/24417388-f2bb-4783-bdce-264774531838.jpg?1699043409
Bladewheel Chariot,"Color Indicator: White
          Artifact — Vehicle",,"Tap two other untapped artifacts you control: Bladewheel Chariot becomes an artifact creature until end of turn.

Crew 1 (Tap any number of creatures you control with total power 1 or more: This Vehicle becomes an artifact creature until end of turn.)",5,5,Uncommon,https://cards.scryfall.io/large/back/2/4/24417388-f2bb-4783-bdce-264774531838.jpg?1699043409
Thousand Moons Crackshot,Creature — Human Soldier,{1}{W},"Whenever Thousand Moons Crackshot attacks, you may pay {2}{W}. When you do, tap target creature.",2,2,Common,https://cards.scryfall.io/large/front/7/4/741a7439-965d-49f2-b43e-053f29196e6b.jpg?1699043418
Thousand Moons Infantry,Creature — Human Soldier,{2}{W},Untap Thousand Moons Infantry during each other player’s untap step.,2,4,Common,https://cards.scryfall.io/large/front/c/1/c1974a8c-3328-4ff5-9a00-cb79ebb8ccf6.jpg?1699043427
Thousand Moons Smithy,Legendary Artifact,{2}{W}{W},"When Thousand Moons Smithy enters the battlefield, create a white Gnome Soldier artifact creature token with “This creature’s power and toughness are each equal to the number of artifacts and/or creatures you control.”

At the beginning of your precombat main phase, you may tap five untapped artifacts and/or creatures you control. If you do, transform Thousand Moons Smithy.",,,Rare,https://cards.scryfall.io/large/front/4/a/4a6bec46-1acd-4726-b8d9-3045ac6a2ea2.jpg?1699043447
Barracks of the Thousand,Legendary Artifact Land,,"(Transforms from Thousand Moons Smithy.)

{T}: Add {W}.

Whenever you cast an artifact or creature spell using mana produced by Barracks of the Thousand, create a white Gnome Soldier artifact creature token with “This creature’s power and toughness are each equal to the number of artifacts and/or creatures you control.”",,,Rare,https://cards.scryfall.io/large/back/4/a/4a6bec46-1acd-4726-b8d9-3045ac6a2ea2.jpg?1699043447
Tinker's Tote,Artifact,{2}{W},"When Tinker’s Tote enters the battlefield, create two 1/1 colorless Gnome artifact creature tokens.

{W}, Sacrifice Tinker’s Tote: You gain 3 life.",,,Common,https://cards.scryfall.io/large/front/8/3/8321857e-7977-46dd-8357-d732312e5261.jpg?1699043462
Unstable Glyphbridge,Artifact,{3}{W}{W},"When Unstable Glyphbridge enters the battlefield, if you cast it, for each player, choose a creature with power 2 or less that player controls. Then destroy all creatures except creatures chosen this way.

Craft with artifact {3}{W}{W} ({3}{W}{W}, Exile this artifact, Exile another artifact you control or an artifact card from your graveyard: Return this card transformed under its owner’s control. Craft only as a sorcery.)",5,3,Rare,https://cards.scryfall.io/large/front/d/7/d70f48e7-582c-4dd2-a64e-6fd03fa6b77e.jpg?1699043483
Sandswirl Wanderglyph,"Color Indicator: White
          Artifact Creature — Golem",,"Flying

Whenever an opponent casts a spell during their turn, they can’t attack you or planeswalkers you control this turn.

Each opponent who attacked you or a planeswalker you control this turn can’t cast spells.",5,3,Rare,https://cards.scryfall.io/large/back/d/7/d70f48e7-582c-4dd2-a64e-6fd03fa6b77e.jpg?1699043483
Vanguard of the Rose,Creature — Vampire Knight,{1}{W},"{1}, Sacrifice another creature or artifact: Vanguard of the Rose gains indestructible until end of turn. Tap it.",3,1,Uncommon,https://cards.scryfall.io/large/front/0/2/0200c504-9137-4bc2-9cd4-eaf0643a2855.jpg?1699043492
Warden of the Inner Sky,Creature — Human Soldier,{W},"As long as Warden of the Inner Sky has three or more counters on it, it has flying and vigilance.

Tap three untapped artifacts and/or creatures you control: Put a +1/+1 counter on Warden of the Inner Sky. Scry 1. Activate only as a sorcery.",1,2,Rare,https://cards.scryfall.io/large/front/5/4/549fd992-ed37-431d-97cb-9ca017db1d47.jpg?1699043501
"Akal Pakal, First Among Equals",Legendary Creature — Human Advisor,{2}{U},"At the beginning of each player’s end step, if an artifact entered the battlefield under your control this turn, look at the top two cards of your library. Put one of them into your hand and the other into your graveyard.",1,5,Rare,https://cards.scryfall.io/large/front/a/b/ab9f6a1b-8467-4584-affd-8c71d3e34d2f.jpg?1699043517
Ancestral Reminiscence,Sorcery,{3}{U},"Draw three cards, then discard a card.",,,Common,https://cards.scryfall.io/large/front/6/2/625690d3-7131-45de-adea-9c927241e661.jpg?1699043525
Brackish Blunder,Instant,{1}{U},"Return target creature to its owner’s hand. If it was tapped, create a Map token. (It’s an artifact with “{1}, {T}, Sacrifice this artifact: Target creature you control explores. Activate only as a sorcery.”)",,,Common,https://cards.scryfall.io/large/front/d/e/dea3d0f4-76f5-416f-93ba-8b003b967816.jpg?1699043535
Braided Net,Artifact,{2}{U},"Braided Net enters the battlefield with three net counters on it.

{T}, Remove a net counter from Braided Net: Tap another target nonland permanent. Its activated abilities can’t be activated for as long as it remains tapped.

Craft with artifact {1}{U}",,,Rare,https://cards.scryfall.io/large/front/6/8/68a6ede0-6d57-4e29-9e3b-3569ab7f0bcd.jpg?1699120209
Braided Quipu,"Color Indicator: Blue
          Artifact",,"{3}{U}, {T}: Draw a card for each artifact you control, then put Braided Quipu into its owner’s library third from the top.",,,Rare,https://cards.scryfall.io/large/back/6/8/68a6ede0-6d57-4e29-9e3b-3569ab7f0bcd.jpg?1699120209
Chart a Course,Sorcery,{1}{U},Draw two cards. Then discard a card unless you attacked this turn.,,,Uncommon,https://cards.scryfall.io/large/front/2/3/233beaac-37a4-4824-8f31-438b6bfe794b.jpg?1699043562
Cogwork Wrestler,Artifact Creature — Gnome,{U},"Flash

When Cogwork Wrestler enters the battlefield, target creature an opponent controls gets -2/-0 until end of turn.",1,2,Common,https://cards.scryfall.io/large/front/a/9/a9d329ad-6b19-4aa7-a53f-38c7b76c4c96.jpg?1699043571
Confounding Riddle,Instant,{2}{U},"Choose one —

• Look at the top four cards of your library. Put one of them into your hand and the rest into your graveyard.

• Counter target spell unless its controller pays {4}.",,,Uncommon,https://cards.scryfall.io/large/front/f/2/f2ae23db-c391-402c-9568-65447cada66e.jpg?1699043580
Council of Echoes,Creature — Spirit Advisor,{4}{U}{U},"Flying

Descend 4 — When Council of Echoes enters the battlefield, if there are four or more permanent cards in your graveyard, return up to one target nonland permanent other than Council of Echoes to its owner’s hand.",4,4,Uncommon,https://cards.scryfall.io/large/front/8/5/85ad358d-a520-4d57-82b0-d2297da1fbde.jpg?1699043588
Deeproot Pilgrimage,Enchantment,{1}{U},"Whenever one or more nontoken Merfolk you control become tapped, create a 1/1 blue Merfolk creature token with hexproof.",,,Rare,https://cards.scryfall.io/large/front/e/2/e2449311-a705-4a31-a345-a36d436ae561.jpg?1699043597
Didact Echo,Creature — Spirit Cleric,{4}{U},"When Didact Echo enters the battlefield, draw a card.

Descend 4 — Didact Echo has flying as long as there are four or more permanent cards in your graveyard.",3,2,Common,https://cards.scryfall.io/large/front/3/c/3c068b2e-17cc-4fb8-bd79-b775a4713d74.jpg?1699043607
Eaten by Piranhas,Enchantment — Aura,{1}{U},"Flash

Enchant creature

Enchanted creature loses all abilities and is a black Skeleton creature with base power and toughness 1/1. (It loses all other card types and creature types.)",,,Uncommon,https://cards.scryfall.io/large/front/b/0/b0c504ef-2382-4174-9b1d-5f38e12a28fc.jpg?1699043614
The Enigma Jewel,Legendary Artifact,{U},"The Enigma Jewel enters the battlefield tapped.

{T}: Add {C}{C}. Spend this mana only to activate abilities.

Craft with four or more nonlands with activated abilities {8}{U} ({8}{U}, Exile this artifact, Exile the four or more from among other permanents you control and/or cards in your graveyard: Return this card transformed under its owner’s control. Craft only as a sorcery.)",,,Mythic Rare,https://cards.scryfall.io/large/front/2/e/2e98970d-06a8-4c91-ba47-4a02c5b949f2.jpg?1699043631
Locus of Enlightenment,"Color Indicator: Blue
          Legendary Artifact",,"Locus of Enlightenment has each activated ability of the exiled cards used to craft it. You may activate each of those abilities only once each turn.

Whenever you activate an ability that isn’t a mana ability, copy it. You may choose new targets for the copy.",,,Mythic Rare,https://cards.scryfall.io/large/back/2/e/2e98970d-06a8-4c91-ba47-4a02c5b949f2.jpg?1699043631
The Everflowing Well,Legendary Artifact,{2}{U},"When The Everflowing Well enters the battlefield, mill two cards, then draw two cards.

Descend 8 — At the beginning of your upkeep, if there are eight or more permanent cards in your graveyard, transform The Everflowing Well.",,,Rare,https://cards.scryfall.io/large/front/b/f/bf573fb7-fa6c-4df7-8e5e-1e071585361e.jpg?1699043648
The Myriad Pools,Legendary Artifact Land,,"(Transforms from The Everflowing Well.)

{T}: Add {U}.

Whenever you cast a permanent spell using mana produced by The Myriad Pools, up to one other target permanent you control becomes a copy of that spell until end of turn.",,,Rare,https://cards.scryfall.io/large/back/b/f/bf573fb7-fa6c-4df7-8e5e-1e071585361e.jpg?1699043648
Frilled Cave-Wurm,Creature — Salamander Wurm,{3}{U},Descend 4 — Frilled Cave-Wurm gets +2/+0 as long as there are four or more permanent cards in your graveyard.,2,5,Common,https://cards.scryfall.io/large/front/6/f/6f65e1bc-fade-4fdf-a1fd-de068bff9e4c.jpg?1699043658
Hermitic Nautilus,Artifact Creature — Nautilus,{1}{U},"Vigilance

{1}{U}: Hermitic Nautilus gets +3/-3 until end of turn.",1,4,Uncommon,https://cards.scryfall.io/large/front/5/4/545503f8-a8c6-4518-9ad6-76e4996397fc.jpg?1699043666
Hurl into History,Instant,{3}{U}{U},"Counter target artifact or creature spell. Discover X, where X is that spell’s mana value. (Exile cards from the top of your library until you exile a nonland card with that mana value or less. Cast it without paying its mana cost or put it into your hand. Put the rest on the bottom in a random order.)",,,Uncommon,https://cards.scryfall.io/large/front/5/9/5946463a-2240-4376-b6f5-fd6e3a9cc51c.jpg?1699576505
Inverted Iceberg,Artifact,{1}{U},"When Inverted Iceberg enters the battlefield, mill a card, then draw a card. (To mill a card, put the top card of your library into your graveyard.)

Craft with artifact {4}{U}{U} ({4}{U}{U}, Exile this artifact, Exile another artifact you control or an artifact card from your graveyard: Return this card transformed under its owner’s control. Craft only as a sorcery.)",6,6,Common,https://cards.scryfall.io/large/front/a/c/ac5e9a53-cc4f-4ced-8088-5a73d619eae3.jpg?1699045157
Iceberg Titan,"Color Indicator: Blue
          Artifact Creature — Golem",,"Whenever Iceberg Titan attacks, you may tap or untap target artifact or creature.",6,6,Common,https://cards.scryfall.io/large/back/a/c/ac5e9a53-cc4f-4ced-8088-5a73d619eae3.jpg?1699045157
Kitesail Larcenist,Creature — Human Pirate,{2}{U},"Flying, ward {1}

When Kitesail Larcenist enters the battlefield, for each player, choose up to one other target artifact or creature that player controls. For as long as Kitesail Larcenist remains on the battlefield, the chosen permanents become Treasure artifacts with “{T}, Sacrifice this artifact: Add one mana of any color” and lose all other abilities.",2,3,Rare,https://cards.scryfall.io/large/front/0/3/03207457-70d8-4462-8c8b-ed39791d56a1.jpg?1699043787
Lodestone Needle,Artifact,{1}{U},"Flash

When Lodestone Needle enters the battlefield, tap up to one target artifact or creature and put two stun counters on it.

Craft with artifact {2}{U} ({2}{U}, Exile this artifact, Exile another artifact you control or an artifact card from your graveyard: Return this card transformed under its owner’s control. Craft only as a sorcery.)",,,Uncommon,https://cards.scryfall.io/large/front/d/e/dedd7a22-92e2-41fd-aa80-944c69653a5e.jpg?1699043804
Guidestone Compass,"Color Indicator: Blue
          Artifact",,"{1}, {T}: Target creature you control explores. Activate only as a sorcery. (Reveal the top card of your library. Put that card into your hand if it’s a land. Otherwise, put a +1/+1 counter on that creature, then put the card back or put it into your graveyard.)",,,Uncommon,https://cards.scryfall.io/large/back/d/e/dedd7a22-92e2-41fd-aa80-944c69653a5e.jpg?1699043804
"Malcolm, Alluring Scoundrel",Legendary Creature — Siren Pirate,{1}{U},"Flash

Flying

Whenever Malcolm, Alluring Scoundrel deals combat damage to a player, put a chorus counter on it. Draw a card, then discard a card. If there are four or more chorus counters on Malcolm, you may cast the discarded card without paying its mana cost.",2,1,Rare,https://cards.scryfall.io/large/front/1/9/19d6834d-afa3-4747-a62d-0654f4d9729f.jpg?1699043813
Marauding Brinefang,Creature — Dinosaur,{5}{U}{U},"Ward {3} (Whenever this creature becomes the target of a spell or ability an opponent controls, counter it unless that player pays {3}.)

Islandcycling {2} ({2}, Discard this card: Search your library for an Island card, reveal it, put it into your hand, then shuffle.)",6,7,Common,https://cards.scryfall.io/large/front/7/8/78328899-7996-4cfd-bf00-d2a0d0ff3ef8.jpg?1699049880
Merfolk Cave-Diver,Creature — Merfolk Scout,{2}{U},"Whenever a creature you control explores, Merfolk Cave-Diver gets +1/+0 until end of turn and can’t be blocked this turn.",2,4,Uncommon,https://cards.scryfall.io/large/front/6/e/6e0fe81c-b8ef-49ff-8743-f03d0220cb9e.jpg?1699043829
Oaken Siren,Artifact Creature — Siren Pirate,{1}{U},"Flying, vigilance

{T}: Add {U}. Spend this mana only to cast an artifact spell or activate an ability of an artifact source.",1,2,Common,https://cards.scryfall.io/large/front/d/7/d7731ef5-da74-4436-8ee7-01c065cbefae.jpg?1699043837
"Ojer Pakpatiq, Deepest Epoch",Legendary Creature — God,{2}{U}{U},"Flying

Whenever you cast an instant spell from your hand, it gains rebound. (Exile it as it resolves. At the beginning of your next upkeep, you may cast it from exile without paying its mana cost.)

When Ojer Pakpatiq dies, return it to the battlefield tapped and transformed under its owner’s control with three time counters on it.",4,3,Mythic Rare,https://cards.scryfall.io/large/front/a/9/a9d71007-bc04-4dff-ad3f-e2c0b5b4400e.jpg?1699043854
Temple of Cyclical Time,Land,,"(Transforms from Ojer Pakpatiq, Deepest Epoch.)

{T}: Add {U}. Remove a time counter from Temple of Cyclical Time.

{2}{U}, {T}: Transform Temple of Cyclical Time. Activate only if it has no time counters on it and only as a sorcery.",4,3,Mythic Rare,https://cards.scryfall.io/large/back/a/9/a9d71007-bc04-4dff-ad3f-e2c0b5b4400e.jpg?1699043854
Orazca Puzzle-Door,Artifact,{U},"{1}, {T}, Sacrifice Orazca Puzzle-Door: Look at the top two cards of your library. Put one of those cards into your hand and the other into your graveyard.",,,Common,https://cards.scryfall.io/large/front/2/7/27acf726-52f5-493d-8678-c12485f67747.jpg?1699043863
Out of Air,Instant,{2}{U}{U},"This spell costs {2} less to cast if it targets a creature spell.

Counter target spell.",,,Common,https://cards.scryfall.io/large/front/c/2/c263db55-fcac-4b49-b626-7c8092accfcd.jpg?1699043872
Pirate Hat,Artifact — Equipment,{1}{U},"Equipped creature gets +1/+1 and has “Whenever this creature attacks, draw a card, then discard a card.”

Equip Pirate {1}

Equip {2} ({2}: Attach to target creature you control. Equip only as a sorcery.)",,,Common,https://cards.scryfall.io/large/front/9/d/9d11e3d4-769d-47aa-8d3a-ce1ac60b68b8.jpg?1699043880
Relic's Roar,Instant,{U},"Until end of turn, target artifact or creature becomes a Dinosaur artifact creature with base power and toughness 4/3 in addition to its other types.",,,Common,https://cards.scryfall.io/large/front/3/5/35096eb3-ad7b-4b6e-b799-cb4cc447883e.jpg?1699043888
River Herald Scout,Creature — Merfolk Scout,{1}{U},"When River Herald Scout enters the battlefield, it explores. (Reveal the top card of your library. Put that card into your hand if it’s a land. Otherwise, put a +1/+1 counter on this creature, then put the card back or put it into your graveyard.)",1,2,Common,https://cards.scryfall.io/large/front/8/a/8ae8ab66-5840-4b2e-bd4e-94ead0c79b61.jpg?1699043896
Sage of Days,Creature — Human Wizard,{2}{U},"When Sage of Days enters the battlefield, look at the top three cards of your library. You may put one of those cards back on top of your library. Put the rest into your graveyard.",3,2,Common,https://cards.scryfall.io/large/front/a/6/a6e53495-c76c-4cd4-b93e-b2c491d2c13a.jpg?1699043905
